_RID,id,text_input,cluster
0,90678020,,
1,90680390,,
2,90683884,,
3,90668879,,
4,90664296,,
5,90663250,?,
6,90683982,?,
7,90669451,?,
8,90662341,?,
9,90661642,?,
10,90684891,???????,
11,90678718,/,
12,90678458,.,
13,90663965,...,
14,90683860,.....,
15,90678042,......,
16,90664774,..........,
17,90669113,0,
18,90665568,0,
19,90671351,"0,000",
20,90670294,2,
21,90679455,3,
22,90682023,4,
23,90671054,500plus,Plus500
24,90684001,56,
25,90667277,7865r,
26,90677227,8989,
27,90679426,aaaaaaaaaaaaaaaaaaaaaa,
28,90668808,Aktien,
29,90671858,Aktien 24,
30,90668221,Aktien Aktuell,
31,90675775,Alisnz,
32,90682481,All Börse,Börse
33,90667371,Allvest,
34,90681936,amazon,Amazon
35,90684814,amazon,Amazon
36,90678775,Amazon,Amazon
37,90675298,Amazon,Amazon
38,90684143,Amazon,Amazon
39,90680647,Amazon,Amazon
40,90671842,an eine,keine
41,90674644,an keine,keine
42,90664594,an keine bestimmte zuerst,keine
43,90684593,an nichts,Weiß nicht
44,90662591,App,App
45,90676741,Apple,Apple
46,90674365,Apple,Apple
47,90685189,Ativi,
48,90661228,auch,
49,90684392,AXA,
50,90680332,bank,bank
51,90679129,bank,bank
52,90682119,Bank,bank
53,90674268,Bank,bank
54,90672179,Bank,bank
55,90661505,Bank,bank
56,90677125,Bank,bank
57,90665230,Bank,bank
58,90678280,Bank depot,
59,90667490,banken,bank
60,90663619,Banken,bank
61,90685516,Banken,bank
62,90663794,Banken,bank
63,90672332,Bankinstitut,
64,90669869,Bet,
65,90682374,Bet,
66,90674836,Bevestor,
67,90671553,Bfnfkd,
68,90662046,binance,Binance
69,90670489,binance,Binance
70,90663465,binance,Binance
71,90684761,Binance,Binance
72,90662322,Binance,Binance
73,90676936,Binance,Binance
74,90679707,Binance,Binance
75,90680306,Binance,Binance
76,90676337,Binance,Binance
77,90669431,Binance,Binance
78,90677212,Binance,Binance
79,90667572,Binance,Binance
80,90678585,Binance,Binance
81,90680047,Bing X,
82,90683500,Bison,Bison
83,90663386,Bit,
84,90663653,Bitcion,Bitcoin
85,90664914,bitcoin,Bitcoin
86,90664254,bitcoin,Bitcoin
87,90667260,Bitcoin,Bitcoin
88,90677959,Bitcoin,Bitcoin
89,90678143,Bitcoin,Bitcoin
90,90677169,Bitcoin,Bitcoin
91,90678955,Bitcoin,Bitcoin
92,90682345,Bitcoin,Bitcoin
93,90668576,Bitcoin,Bitcoin
94,90672025,Bitcoin,Bitcoin
95,90677340,Bitcoin,Bitcoin
96,90675515,Bitcoin.com,
97,90673996,Bitcoins,Bitcoin
98,90685103,Bitcoins,Bitcoin
99,90668131,bitpanda,Bitpanda
100,90670826,Bitpanda,Bitpanda
101,90664338,Bitpanda,Bitpanda
102,90677085,Bitpanda,Bitpanda
103,90677984,Bitpanda,Bitpanda
104,90675424,Bitpanda,Bitpanda
105,90672829,Bitpanda,Bitpanda
106,90671497,Bitpanda,Bitpanda
107,90678505,BitPanda,Bitpanda
108,90675201,bittoro,
109,90671873,Blackrock,
110,90673899,Blockchain,
111,90669701,Blockchain,
112,90663091,Bmw,
113,90668641,BnB,
114,90684556,börse,Börse
115,90666741,Börse,Börse
116,90677549,Börse,Börse
117,90685901,Börse,Börse
118,90661621,Börse,Börse
119,90668613,Börse,Börse
120,90680984,Börse,Börse
121,90668734,Börse,Börse
122,90666018,Börse,Börse
123,90665080,Börse,Börse
124,90670467,Börse,Börse
125,90667177,Börse,Börse
126,90674018,Börse Frankfurt,Börse Frankfurt
127,90665499,Börse Frankfurt,Börse Frankfurt
128,90684999,brokers,
129,90683039,btcoin,Bitcoin
130,90682073,BWM,
131,90670026,Bybit,
132,90680861,Cain,
133,90670739,capital,Capital.com
134,90676823,Capital,Capital.com
135,90666284,Capital.com,Capital.com
136,90681421,Captrader,
137,90668979,Change,
138,90676697,CHech24,
139,90673167,check24,
140,90666773,chek 24,
141,90684868,Clarke,
142,90670387,CMC markets,
143,90668192,Co,
144,90671428,Coca cola,
145,90684339,coinbase,Coinbase
146,90677267,coinbase,Coinbase
147,90663493,coinbase,Coinbase
148,90671641,Coinbase,Coinbase
149,90664137,Coinbase,Coinbase
150,90664376,Coinbase,Coinbase
151,90680408,Coinbase,Coinbase
152,90662905,Coinbase,Coinbase
153,90685730,Coinbase,Coinbase
154,90673791,Coinbase,Coinbase
155,90676270,Coinbase,Coinbase
156,90670197,Coinbase,Coinbase
157,90678392,Coinbase,Coinbase
158,90674769,Coinbase,Coinbase
159,90663909,CoinBase,Coinbase
160,90663779,Coinbase.com,Coinbase
161,90670685,comdiirect,Comdirect
162,90677931,comdirect,Comdirect
163,90684952,comdirect,Comdirect
164,90681231,comdirect,Comdirect
165,90662454,comdirect,Comdirect
166,90683964,comdirect,Comdirect
167,90667849,comdirect,Comdirect
168,90668537,comdirect,Comdirect
169,90684629,comdirect,Comdirect
170,90675179,comdirect,Comdirect
171,90671793,comdirect,Comdirect
172,90675247,comdirect,Comdirect
173,90666034,comdirect,Comdirect
174,90671209,Comdirect,Comdirect
175,90668449,Comdirect,Comdirect
176,90670883,Comdirect,Comdirect
177,90663408,Comdirect,Comdirect
178,90664045,Comdirect,Comdirect
179,90664219,Comdirect,Comdirect
180,90664656,Comdirect,Comdirect
181,90667598,Comdirect,Comdirect
182,90675530,Comdirect,Comdirect
183,90676232,Comdirect,Comdirect
184,90676760,Comdirect,Comdirect
185,90682190,Comdirect,Comdirect
186,90682213,Comdirect,Comdirect
187,90685580,Comdirect,Comdirect
188,90675133,comdirect.de,Comdirect
189,90666472,comdirekt,Comdirect
190,90661277,comdirekt,Comdirect
191,90680373,Comdirekt,Comdirect
192,90665966,Comdirekt,Comdirect
193,90683100,Comdirext,Comdirect
194,90685493,comerz,Commerzbank
195,90681343,cominvest Fondas P,
196,90682318,Commerzbank,Commerzbank
197,90675031,Commerzbank,Commerzbank
198,90682499,Commerzbank,Commerzbank
199,90670371,Commerzbank,Commerzbank
200,90670321,Commerzbank,Commerzbank
201,90672472,Commerzbank,Commerzbank
202,90681005,consors,Consorsbank
203,90675156,consors,Consorsbank
204,90670057,consors,Consorsbank
205,90679558,consors,Consorsbank
206,90674095,Consors,Consorsbank
207,90677057,Consors,Consorsbank
208,90661882,Consors,Consorsbank
209,90669622,Consors,Consorsbank
210,90683673,Consors,Consorsbank
211,90661125,Consors,Consorsbank
212,90677624,consorsbank,Consorsbank
213,90670446,consorsbank,Consorsbank
214,90681162,consorsbank,Consorsbank
215,90678607,Consorsbank,Consorsbank
216,90661780,Consorsbank,Consorsbank
217,90661843,Consorsbank,Consorsbank
218,90674860,Consorsbank,Consorsbank
219,90678821,Consorsbank,Consorsbank
220,90680578,Consorsbank,Consorsbank
221,90667698,Consorsbank,Consorsbank
222,90673919,Consorsbank,Consorsbank
223,90667746,Consorsbank,Consorsbank
224,90681600,Consorsbank,Consorsbank
225,90667944,Consorsbank,Consorsbank
226,90665336,cortalconsors,
227,90663727,Cortal Consors,
228,90684113,crxt,
229,90669911,Crypto,crypto
230,90682596,crypto.com,crypto.com
231,90675562,Crypto.com,crypto.com
232,90669245,Dab,
233,90669930,Dafür muss man sich auskennen,
234,90673599,Dax,Dax
235,90665382,Dax,Dax
236,90668296,Dax,Dax
237,90663190,Dax,Dax
238,90662079,Dax,Dax
239,90678261,Dax,Dax
240,90671773,Dax,Dax
241,90665620,Dax,Dax
242,90666803,DAX,Dax
243,90680907,DAX,Dax
244,90672962,DAX dowjones,
245,90674928,degiro,DeGiro
246,90674404,Degiro,DeGiro
247,90679523,Degiro,DeGiro
248,90665420,Degiro,DeGiro
249,90676051,deka,Deka
250,90662534,Deka,Deka
251,90682989,Deka,Deka
252,90674702,Deka,Deka
253,90664537,Deka,Deka
254,90682407,Deka,Deka
255,90666903,Deka,Deka
256,90684925,Deka,Deka
257,90675871,Deka,Deka
258,90685065,Deka,Deka
259,90678910,Deka,Deka
260,90681554,DEKA,Deka
261,90668828,Dekafonds,Deka
262,90678473,Deka Investment,Deka
263,90669654,Deka Investments,Deka
264,90663705,deutche bank,Deutsche Bank
265,90662922,deutsche Bank,Deutsche Bank
266,90661325,Deutsche bank,Deutsche Bank
267,90683334,Deutsche Bank,Deutsche Bank
268,90677513,Deutsche Bank,Deutsche Bank
269,90675648,Deutsche Bank,Deutsche Bank
270,90684908,Deutsche Bank,Deutsche Bank
271,90665297,Deutsche Bank,Deutsche Bank
272,90670942,Deutsche Bank,Deutsche Bank
273,90663348,Deutsche Bank,Deutsche Bank
274,90672119,Deutsche Bank,Deutsche Bank
275,90675232,Deutsche Bank,Deutsche Bank
276,90682906,Deutsche Bank,Deutsche Bank
277,90668692,Deutscher Aktienmarkt,
278,90675815,DEutsche vermögens Beratung,
279,90663269,diba,Diba
280,90680515,Diba,Diba
281,90674906,Diba,Diba
282,90668110,dkb,DKB
283,90670666,Dkb,DKB
284,90667196,DKB,DKB
285,90671284,DKB,DKB
286,90683081,DKB,DKB
