,id,text_input,cluster
0,90678020,,
1,90680390,,
2,90683884,,
3,90668879,,
4,90664296,,
5,90663250,?,
6,90683982,?,
7,90669451,?,
8,90662341,?,
9,90661642,?,
10,90684891,???????,
11,90678718,/,
12,90678458,.,
13,90663965,...,
14,90683860,.....,
15,90678042,......,
16,90664774,..........,
17,90669113,0,
18,90665568,0,
19,90671351,"0,000",
20,90670294,2,
21,90679455,3,
22,90682023,4,
23,90671054,500plus,
24,90684001,56,
25,90667277,7865r,
26,90677227,8989,
27,90679426,aaaaaaaaaaaaaaaaaaaaaa,
28,90668808,Aktien,
29,90671858,Aktien 24,
30,90668221,Aktien Aktuell,
31,90675775,Alisnz,
32,90682481,All Börse,
33,90667371,Allvest,
34,90681936,amazon,
35,90684814,amazon,
36,90678775,Amazon,
37,90675298,Amazon,
38,90684143,Amazon,
39,90680647,Amazon,
40,90671842,an eine,
41,90674644,an keine,
42,90664594,an keine bestimmte zuerst,
43,90684593,an nichts,
44,90662591,App,
45,90676741,Apple,
46,90674365,Apple,
47,90685189,Ativi,
48,90661228,auch,
49,90684392,AXA,
50,90680332,bank,
51,90679129,bank,
52,90682119,Bank,
53,90674268,Bank,
54,90672179,Bank,
55,90661505,Bank,
56,90677125,Bank,
57,90665230,Bank,
58,90678280,Bank depot,
59,90667490,banken,
60,90663619,Banken,
61,90685516,Banken,
62,90663794,Banken,
63,90672332,Bankinstitut,
64,90669869,Bet,
65,90682374,Bet,
66,90674836,Bevestor,
67,90671553,Bfnfkd,
68,90662046,binance,
69,90670489,binance,
70,90663465,binance,
71,90684761,Binance,
72,90662322,Binance,
73,90676936,Binance,
74,90679707,Binance,
75,90680306,Binance,
76,90676337,Binance,
77,90669431,Binance,
78,90677212,Binance,
79,90667572,Binance,
80,90678585,Binance,
81,90680047,Bing X,
82,90683500,Bison,
83,90663386,Bit,
84,90663653,Bitcion,
85,90664914,bitcoin,
86,90664254,bitcoin,
87,90667260,Bitcoin,
88,90677959,Bitcoin,
89,90678143,Bitcoin,
90,90677169,Bitcoin,
91,90678955,Bitcoin,
92,90682345,Bitcoin,
93,90668576,Bitcoin,
94,90672025,Bitcoin,
95,90677340,Bitcoin,
96,90675515,Bitcoin.com,
97,90673996,Bitcoins,
98,90685103,Bitcoins,
108,90675201,bittoro,
109,90671873,Blackrock,
110,90673899,Blockchain,
111,90669701,Blockchain,
112,90663091,Bmw,
113,90668641,BnB,
114,90684556,börse,
115,90666741,Börse,
116,90677549,Börse,
117,90685901,Börse,
118,90661621,Börse,
119,90668613,Börse,
120,90680984,Börse,
121,90668734,Börse,
122,90666018,Börse,
123,90665080,Börse,
124,90670467,Börse,
125,90667177,Börse,
126,90674018,Börse Frankfurt,
127,90665499,Börse Frankfurt,
129,90683039,btcoin,
130,90682073,BWM,
131,90670026,Bybit,
132,90680861,Cain,
135,90666284,Capital.com,
136,90681421,Captrader,
137,90668979,Change,
138,90676697,CHech24,
139,90673167,check24,
140,90666773,chek 24,
141,90684868,Clarke,
142,90670387,CMC markets,
143,90668192,Co,
144,90671428,Coca cola,
145,90684339,coinbase,
146,90677267,coinbase,
147,90663493,coinbase,
148,90671641,Coinbase,
149,90664137,Coinbase,
150,90664376,Coinbase,
151,90680408,Coinbase,
152,90662905,Coinbase,
153,90685730,Coinbase,
154,90673791,Coinbase,
155,90676270,Coinbase,
156,90670197,Coinbase,
157,90678392,Coinbase,
158,90674769,Coinbase,
159,90663909,CoinBase,
160,90663779,Coinbase.com,
194,90685493,comerz,
195,90681343,cominvest Fondas P,
196,90682318,Commerzbank,
197,90675031,Commerzbank,
198,90682499,Commerzbank,
199,90670371,Commerzbank,
200,90670321,Commerzbank,
201,90672472,Commerzbank,
226,90665336,cortalconsors,
227,90663727,Cortal Consors,
228,90684113,crxt,
229,90669911,Crypto,
230,90682596,crypto.com,
231,90675562,Crypto.com,
232,90669245,Dab,
233,90669930,Dafür muss man sich auskennen,
234,90673599,Dax,
235,90665382,Dax,
236,90668296,Dax,
237,90663190,Dax,
238,90662079,Dax,
239,90678261,Dax,
240,90671773,Dax,
241,90665620,Dax,
242,90666803,DAX,
243,90680907,DAX,
244,90672962,DAX dowjones,
249,90676051,deka,
250,90662534,Deka,
251,90682989,Deka,
252,90674702,Deka,
253,90664537,Deka,
254,90682407,Deka,
255,90666903,Deka,
256,90684925,Deka,
257,90675871,Deka,
258,90685065,Deka,
259,90678910,Deka,
260,90681554,DEKA,
261,90668828,Dekafonds,
262,90678473,Deka Investment,
263,90669654,Deka Investments,
264,90663705,deutche bank,
265,90662922,deutsche Bank,
266,90661325,Deutsche bank,
267,90683334,Deutsche Bank,
268,90677513,Deutsche Bank,
269,90675648,Deutsche Bank,
270,90684908,Deutsche Bank,
271,90665297,Deutsche Bank,
272,90670942,Deutsche Bank,
273,90663348,Deutsche Bank,
274,90672119,Deutsche Bank,
275,90675232,Deutsche Bank,
276,90682906,Deutsche Bank,
277,90668692,Deutscher Aktienmarkt,
278,90675815,DEutsche vermögens Beratung,
279,90663269,diba,
280,90680515,Diba,
281,90674906,Diba,
289,90679063,Dks,
290,90683404,Dvag,
291,90679633,dws,
292,90684737,Dws,
293,90677474,DWS,
294,90674484,eft tokens,
301,90674287,etf,
302,90670142,Etf24,
303,90673480,Eth,
392,90670525,Facebook,
394,90668032,Feedback,
395,90668851,Fex,
396,90663833,Fhj,
406,90669208,Fjnchj,
423,90684374,Fond,
424,90682655,FONDMAN,
425,90671978,Forex,
426,90679203,Forex,
427,90665479,Forex,
428,90669541,Frankfurt,
429,90676190,Frankfurt Börse,
430,90680020,Frankfurter Fond Bank,
431,90685954,ftx,
432,90665701,Ftx,
433,90663981,Ftx trade,
434,90676069,Games,
435,90667632,gar keins,
436,90677831,Gau,
437,90662575,Geld verlieren,
438,90670582,German Brokernet,
439,90661757,Gibt keine,
440,90671674,google,
441,90671231,Google,
442,90665851,Google,
443,90669129,Google,
444,90674336,Growny,
445,90663236,gut,
446,90669403,gut,
447,90670343,Gut,
448,90674684,Habe keine Ahnung,
449,90685686,hamburger volksbank,
450,90673880,Haspa,
451,90678691,hausbank,
452,90675915,Hausbank,
453,90673389,Hausbank,
454,90675008,Hausbank,
455,90685020,hgjkjhggjh,
456,90673371,hier,
457,90678004,HuK,
458,90661804,i0,
459,90684360,ich kenn da keine,
460,90674558,ich kenne keinen,
461,90673249,Ich kenne keinen,
462,90672721,Ich kenne noch keine,
463,90672948,Ich kenn mich da nicht aus,
464,90681145,Ich weis nicht,
465,90676682,Ich weiß es nicht genau,
466,90666457,ich weiss nicht,
467,90679383,IC markets,
468,90683427,Idk,
469,90663218,Igenius,
470,90684409,I love you and I miss you so much and I hope you,
471,90679999,in der regel meine hausbank,
515,90675446,Instagram,
516,90663598,Intel,
517,90682141,Investitionen,
518,90674505,Investmentfonds,
519,90673062,Investopedia,
520,90679578,Investor,
521,90665529,IQ Option,
523,90674184,JA,
524,90678163,jhjhhj,
525,90671821,Julian hosp,
526,90674600,Just Etf,
527,90662143,ka,
528,90675116,k.a.,
529,90678364,Ka,
530,90661662,Ka,
531,90671482,Kei e,
532,90685761,keien,
533,90681032,Kein Ahnung,
534,90679943,Kein bestimmtes,
535,90664493,keine,
536,90664479,keine,
537,90678548,keine,
538,90678635,keine,
539,90663950,keine,
540,90675795,keine,
541,90672645,keine,
542,90670419,keine,
543,90667776,keine,
544,90672659,keine,
545,90684291,keine,
546,90682175,keine,
547,90680152,keine,
548,90680105,keine,
549,90685790,keine,
550,90670182,keine,
551,90668899,keine,
552,90670567,keine,
553,90683828,keine,
554,90680701,keine,
555,90666789,keine,
556,90685234,keine,
557,90683282,keine,
558,90676456,keine,
559,90666759,keine,
560,90682463,keine,
561,90675050,keine,
562,90673269,keine,
563,90675401,keine,
564,90676438,keine,
565,90666857,keine,
566,90674389,keine,
567,90681968,keine,
568,90685248,keine,
569,90671414,keine,
570,90681802,keine,
571,90665922,keine,
572,90671532,keine,
573,90684575,keine,
574,90677531,keine,
575,90685279,keine,
576,90671624,keine,
577,90677609,keine,
578,90662031,keine,
579,90683949,keine,
580,90662114,keine,
581,90662128,keine,
582,90662213,keine,
583,90667817,keine,
584,90667163,keine,
585,90675937,keine,
586,90662197,keine,
587,90666615,keine,
588,90664976,keine,
589,90672888,keine,
590,90664957,keine,
591,90669148,keine,
592,90685374,keine,
593,90664789,keine,
594,90661158,keine,
595,90672201,keine,
596,90669603,keine,
597,90666413,keine,
598,90662942,keine,
599,90681078,keine,
600,90682935,Keine,
601,90685153,Keine,
602,90685208,Keine,
603,90682159,Keine,
604,90682053,Keine,
605,90682004,Keine,
606,90661260,Keine,
607,90680240,Keine,
608,90669789,Keine,
609,90679506,Keine,
610,90671040,Keine,
611,90674130,Keine,
612,90671337,Keine,
613,90666191,Keine,
614,90675589,Keine,
615,90666062,Keine,
616,90665939,Keine,
617,90677434,Keine,
618,90662010,Keine,
619,90662251,Keine,
620,90664993,Keine,
621,90662722,Keine,
622,90662736,Keine,
623,90662754,Keine,
